boundary,locagrid
feature,"LOCA Grid Cell 34.40625, -119.84375"
feature id,47000
center,"-119.8438, 34.4063"
scenario,High (RCP 8.5)
climate indicator,Maximum Temperature
units,°F

year,Modeled RCP 8.5 Range Min,Modeled RCP 8.5 Range Max,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
1950,68.8376464844,73.504699707,71.6771240234,71.4154815674,70.5403137207,70.5627288818,69.5987243652
1951,68.2969055176,72.1884307861,71.4004669189,70.2448348999,70.0476303101,71.6006011963,70.6724777222
1952,68.5175628662,72.6280975342,69.4238204956,69.462387085,72.2078704834,72.6280975342,70.3052062988
1953,69.2069549561,73.7574386597,70.1883087158,70.4757080078,70.1106414795,71.9596862793,71.9647979736
1954,68.8522033691,72.0923461914,69.0217056274,69.9804992676,70.2185211182,70.3983688354,70.7132873535
1955,68.126449585,73.8532943726,67.2865600586,69.3404998779,70.1612854004,69.8308105469,70.8117828369
1956,68.3991317749,72.3292694092,68.7303237915,69.9144210815,70.787612915,71.0359039307,69.9309005737
1957,68.484161377,72.5784454346,69.6830215454,69.6705780029,70.620513916,70.297958374,72.0838317871
1958,67.5218200684,73.1000671387,71.6991729736,69.8337249756,70.4932403564,70.1099243164,70.4093551636
1959,68.0521850586,73.0751876831,75.9882965088,71.0259628296,70.2447814941,69.1906967163,70.921043396
1960,68.540802002,72.5287322998,74.1204910278,70.3130645752,71.2147064209,71.4117431641,70.2559814453
1961,68.3390350342,72.2736206055,74.7588806152,69.5411605835,70.2530212402,70.4876327515,70.6585235596
1962,68.1082687378,72.7280731201,72.4186248779,70.2679595947,70.8634185791,70.3685913086,72.7280731201
1963,69.0714950562,73.1031494141,73.8526611328,73.0347595215,69.4315185547,70.0676803589,72.3386077881
1964,68.3189849854,72.1281661987,69.5696411133,69.0244140625,68.7883224487,69.2442016602,71.7695770264
1965,67.6083374023,72.4816513062,68.4247512817,67.6083374023,69.3917999268,71.3953781128,69.437286377
1966,68.0478439331,72.8758392334,68.8286895752,68.7680511475,68.9959640503,72.2702178955,68.0478439331
1967,67.9892883301,71.4336090088,68.1698455811,70.8523254395,68.9360351562,69.5729064941,70.3501434326
1968,68.433303833,73.446472168,68.78540802,69.529296875,69.6876068115,70.2981719971,70.3014144897
1969,68.0676193237,72.1628875732,68.9130172729,69.8199386597,71.1689453125,70.5504150391,69.9416122437
1970,67.9640197754,72.2253952026,68.4182891846,68.7565765381,71.1533508301,70.3117370605,69.7238616943
1971,67.8749237061,71.7243041992,68.5746612549,70.2109375,70.0790557861,69.4886474609,67.8749237061
1972,68.583152771,72.2659301758,69.6810302734,69.9172821045,69.4992980957,72.2659301758,69.784286499
1973,68.4690093994,72.4599533081,67.1314620972,71.1310424805,69.8988800049,71.5239181519,70.1502990723
1974,68.8141403198,72.3583831787,68.5018768311,71.0344238281,68.8141403198,71.606590271,69.6901855469
1975,68.4379730225,71.756439209,66.9500274658,71.756439209,69.4963912964,71.2783737183,69.0605621338
1976,68.0819015503,71.4720077515,70.9071960449,69.3282470703,70.1188812256,70.1834716797,69.0009078979
1977,68.3168487549,72.3751983643,71.1760406494,69.9674301147,69.3174285889,71.3100738525,71.1480255127
1978,68.4324798584,72.1578826904,68.809211731,71.5476989746,70.7927246094,69.9142608643,71.2585983276
1979,67.9459457397,72.3717346191,69.0946960449,71.4911193848,70.2526855469,69.4304733276,70.38331604
1980,67.4273910522,73.0724945068,69.1263275146,73.0724945068,71.1707077026,68.6691741943,69.1092376709
1981,67.7469329834,72.7525787354,69.2766189575,72.4245223999,70.0072555542,67.7469329834,68.5176696777
1982,67.707321167,71.6072540283,68.143951416,69.9356842041,70.5614013672,69.3415985107,69.8712997437
1983,67.4699630737,72.0294494629,70.4781799316,69.8626251221,69.8726730347,69.5046310425,69.6952438354
1984,66.9986495972,72.5856323242,70.9336090088,69.2126159668,69.8207092285,70.8256225586,70.3776092529
1985,68.6373748779,72.885345459,68.57081604,68.7625045776,68.6373748779,69.8929443359,69.0365600586
1986,69.2054748535,72.2223739624,70.0807037354,69.6051559448,70.6553955078,71.4574508667,69.2054748535
1987,69.2530441284,73.5497436523,69.7998046875,69.3524169922,71.0474395752,69.719909668,69.2799606323
1988,68.6272125244,72.7142868042,70.2153320312,69.1755905151,69.7245788574,68.7188339233,72.7142868042
1989,68.8928070068,72.4367675781,70.8249664307,69.7382049561,69.6976623535,68.9309234619,70.9370269775
1990,68.6587371826,72.6584777832,71.9495925903,69.7471008301,71.2699737549,69.2754058838,70.9981079102
1991,69.1564788818,72.3163604736,69.5351257324,71.2366256714,70.4468688965,69.8323516846,70.6919784546
1992,68.4865875244,73.6839904785,72.9281616211,69.5869750977,71.2509078979,70.5496520996,70.3081665039
1993,68.3463439941,72.1746368408,72.5434951782,71.4870605469,69.0632019043,70.1292037964,68.5229492188
1994,68.8758850098,71.8213195801,70.847946167,68.8758850098,70.4039154053,69.8861846924,71.1242370605
1995,67.799987793,73.4899215698,71.7458190918,70.573928833,71.210144043,71.7463912964,71.7057952881
